categories,collectDate,content,createDate,description,docId,docType,domain,fromCrawler,link,logoLink,numComments,numDislikes,numLikes,numShares,numViews,pictures,postId,postLink,provinces,reactions,source,sourceId,sourceName,tags,title,type,userId,userName
[],2026-01-21T09:28:21.811176+07:00,"Never trust your in-laws.

No matter how sweet or welcoming they seem, their loyalty lies with their blood. In times of conflict, they'll choose their child over you, no matter what.  You're not their family, and your place in their lives is conditional. Protect your dignity, trust your instincts, and set boundaries.",2025-10-14T14:23:01+07:00,,3743051915849706842,threads,threads.com,threads_crawler_v1,https://www.threads.net/@kiristii.x/post/DPx_eLMES1a,https://scontent-hkg1-1.cdninstagram.com/v/t51.2885-19/583227099_17863353087516585_3640978717031151037_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hkg1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=PZsgKg_vgQQQ7kNvwGPCY-u&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afrh_8qy2tdXnl3srKu9gObdn8URrtUA3tKz8tfc7R7ExA&oe=6975F2DE&_nc_sid=4a2096,113,0,7631,1444,0,[],,https://www.threads.net/@kiristii.x/post/DPx_eLMES1a,[],"{'likes': 7631, 'reposts': 1390, 'quotes': 54}",threads,3743051915849706842,kirisтii,,"Never trust your in-laws.

No matter how sweet or welcoming they seem, their loyalty lies with their blood. In times of conflict, they'll choose their child over you, no matter what.  You're not their family, and your place in their lives is conditional. Protect your dignity, trust your instincts, and set boundaries.",threads,75491220584,kiristii.x
[],2026-01-21T09:28:21.811301+07:00,"SIGNS YOU’RE BECOMING POWERFUL

1. You stop explaining yourself.
2. You respect your energy more than opinions.
3. You respond slower (you’re thinking bigger).
4. You choose silence over chaos.
5. You no longer chase, you decide.
6. You treat your future self like someone you refuse to disappoint.

7. You feel the shift before anyone else sees it.
8. You outgrow people without conflict.
9. Your standards rise quietly.
10. You’re becoming someone you used to pray for.

How many do you feel?",2025-11-19T00:55:39+07:00,,3768737482556934395,threads,threads.com,threads_crawler_v1,https://www.threads.net/@iamsource/post/DRNPsXTgYj7,https://scontent-hkg1-2.cdninstagram.com/v/t51.2885-19/528685900_18395230873142715_9090951419744989113_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-hkg1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=M-QetLl5aR4Q7kNvwFD4Rjl&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqZAhz8WwBSc0-8-wMG7Ge9ilxguU4EdXOA3wye5DIqjA&oe=69761A90&_nc_sid=4a2096,37,0,445,75,0,[],,https://www.threads.net/@iamsource/post/DRNPsXTgYj7,[],"{'likes': 445, 'reposts': 71, 'quotes': 4}",threads,3768737482556934395,IAMSOURCE,,"SIGNS YOU’RE BECOMING POWERFUL

1. You stop explaining yourself.
2. You respect your energy more than opinions.
3. You respond slower (you’re thinking bigger).
4. You choose silence over chaos.
5. You no longer chase, you decide.
6. You treat your future self like someone you refuse to disappoint.

7. You feel the shift before anyone else sees it.
8. You outgrow people without conflict.
9. Your standards rise quietly.
10. You’re becoming someone you used to pray for.

How many do you feel?",threads,75952803604,iamsource
[],2026-01-21T09:28:21.811344+07:00,"5 rules to outsmart corporate politics

1. Document everything. 

2. Don’t talk too much over teams chat. Always watch your language and don’t send angry or emotional messages to anyone. Use it only for quick updates or for checking in 

3. Be friendly with everyone. Treat everyone equally. Don’t have favourites. 

4. Don’t take any sides during a conflict. Always focus on solving the problem.

5. Don’t gossip and never vent to anyone at work.",2025-10-29T01:39:45+07:00,,3753539386203161975,threads,threads.com,threads_crawler_v1,https://www.threads.net/@yoursilentpower/post/DQXQC9FE8V3,https://scontent-hkg4-2.cdninstagram.com/v/t51.2885-19/542223661_17849069403546527_1927515920196573610_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NjQuYzIifQ&_nc_ht=scontent-hkg4-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=NPqPFHf4XYwQ7kNvwHH2vx2&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfpB1rIWC7krVOaHfhiwj7dtse7zOnG96Q8Hp0FifSwh-g&oe=6975F156&_nc_sid=4a2096,7,0,1071,110,0,[],,https://www.threads.net/@yoursilentpower/post/DQXQC9FE8V3,[],"{'likes': 1071, 'reposts': 109, 'quotes': 1}",threads,3753539386203161975,Your Silent Power | Regain yourself | Self Improvement,,"5 rules to outsmart corporate politics

1. Document everything. 

2. Don’t talk too much over teams chat. Always watch your language and don’t send angry or emotional messages to anyone. Use it only for quick updates or for checking in 

3. Be friendly with everyone. Treat everyone equally. Don’t have favourites. 

4. Don’t take any sides during a conflict. Always focus on solving the problem.

5. Don’t gossip and never vent to anyone at work.",threads,76483874526,yoursilentpower
[],2026-01-21T09:28:21.811384+07:00,"Its a Healthy Relationship When

- You communicate openly.
- Boundaries are respected.
- Trust is Solid.
- You feel supported.
- Conflicts are handled calmly.
- Goals and values align.
- There's room for independence.
- Appreciation id shown often.
- Both put in effort.",2025-10-03T21:50:05+07:00,,3735304402912849193,threads,threads.com,threads_crawler_v1,https://www.threads.net/@mdmeez9/post/DPWd5Bfkq0p,https://scontent-hkg1-1.cdninstagram.com/v/t51.2885-19/456258521_1590038748583325_5136654824857224921_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hkg1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=UX82TElQSb0Q7kNvwF7J3z_&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqDDKtHxf8y5LtWUytljEjVuNwsnkYU_caqU0VDolvoyw&oe=69760205&_nc_sid=4a2096,3,0,491,91,0,[],,https://www.threads.net/@mdmeez9/post/DPWd5Bfkq0p,[],"{'likes': 491, 'reposts': 89, 'quotes': 2}",threads,3735304402912849193,Md Meez (Leo),Relationships,"Its a Healthy Relationship When

- You communicate openly.
- Boundaries are respected.
- Trust is Solid.
- You feel supported.
- Conflicts are handled calmly.
- Goals and values align.
- There's room for independence.
- Appreciation id shown often.
- Both put in effort.",threads,63056151465,mdmeez9
[],2026-01-21T09:28:21.811425+07:00,"Công Thức IELTS Speaking Part 3 mình LUÔN sử dụng để IELTS Speaking đạt 8.0 trong 3 lần gần nhất? 

[Và Full bộ tài liệu đi kèm 85 Ví dụ mẫu, 7 Idioms-3 Collocations cho mỗi Câu Sample]

Nếu bạn muốn đạt điểm Speaking cao, từ >7.5 trở lên, Phần Part 3 bạn nên đặc biệt lưu ý 

1 Framwork mình luôn sử dụng cho P3, đó là 

1) Anecdotes: Trải nghiệm cá nhân 
2) Background: Thông tin bối cảnh, context của câu hỏi
3) Conflict: Discuss mặt Pros/Cons của câu hỏi
4) Development: GIải pháp, dự đoán 

Và",2025-03-28T15:36:49+07:00,,3598133913283096983,threads,threads.com,threads_crawler_v1,https://www.threads.net/@imvictorpham/post/DHvI7r7hnGX,https://scontent-hkg4-1.cdninstagram.com/v/t51.2885-19/448361809_1534114907536668_3085011574220972456_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44MjQuYzIifQ&_nc_ht=scontent-hkg4-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=Mpn-Ht2q3ysQ7kNvwGiIMe0&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afp-zVUf2r1d601JaqFnxNddHzhaJHMgn7ee3GJPORy99w&oe=69761BD8&_nc_sid=4a2096,4,0,250,76,0,['https://scontent-hkg4-1.cdninstagram.com/v/t51.2885-15/486225953_17889373596224264_8598353974343974041_n.jpg?stp=cp6_dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InRocmVhZHMuQ0FST1VTRUxfSVRFTS5pbWFnZV91cmxnZW4uMTEyNHgxNDU2LnNkci5mNzU3NjEuZGVmYXVsdF9pbWFnZS5jMiJ9&_nc_ht=scontent-hkg4-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=HAI8axa1U88Q7kNvwGO2h-e&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&ig_cache_key=MzU5ODEzMzkwNjI5NTIyNzk4Nw%3D%3D.3-ccb7-5&oh=00_AfoZuwPmRAijysNW6pD95HHc7tX4La39Nnog4lFhyPsqPg&oe=697618CC&_nc_sid=4a2096'],,https://www.threads.net/@imvictorpham/post/DHvI7r7hnGX,[],"{'likes': 250, 'reposts': 75, 'quotes': 1}",threads,3598133913283096983,Phạm Quang Minh,IELTS,"Công Thức IELTS Speaking Part 3 mình LUÔN sử dụng để IELTS Speaking đạt 8.0 trong 3 lần gần nhất? 

[Và Full bộ tài liệu đi kèm 85 Ví dụ mẫu, 7 Idioms-3 Collocations cho mỗi Câu Sample]

Nếu bạn muốn đạt điểm Speaking cao, từ >7.5 trở lên, Phần Part 3 bạn nên đặc biệt lưu ý 

1 Framwork mình luôn sử dụng cho P3, đó là 

1) Anecdotes: Trải nghiệm cá nhân 
2) Background: Thông tin bối cảnh, context của câu hỏi
3) Conflict: Discuss mặt Pros/Cons của câu hỏi
4) Development: GIải pháp, dự đoán 

Và",threads,66800520263,imvictorpham
[],2026-01-21T09:28:21.811457+07:00,"At this point I realized that marriage is not for lovers. It's for forgivers, sacrificers, grown adults. Why? You can love someone and still hurt them. Still disappoint them. Still forget their needs. Love alone is not enough. 

At this point I realized that real marriage needs emotional maturity, conflict resolution, humility, communication and a lots of forgiveness. You'll forgive things you swore you never could.",2025-07-06T13:12:31+07:00,,3670538860477483367,threads,threads.com,threads_crawler_v1,https://www.threads.net/@jo.xbqxri/post/DLwX6VxBwln,https://scontent-hkg1-2.cdninstagram.com/v/t51.2885-19/612069471_17906082453338642_7457763693326693702_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40NDQuYzIifQ&_nc_ht=scontent-hkg1-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=biZRampcw9IQ7kNvwFJ9MIw&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afp-ssQny17bEFqF6e7HQ6EllAsf5imzq5r3Y0j_KpUTMw&oe=697623FC&_nc_sid=4a2096,62,0,8920,2912,0,[],,https://www.threads.net/@jo.xbqxri/post/DLwX6VxBwln,[],"{'likes': 8920, 'reposts': 2827, 'quotes': 85}",threads,3670538860477483367,QØYÏ,,"At this point I realized that marriage is not for lovers. It's for forgivers, sacrificers, grown adults. Why? You can love someone and still hurt them. Still disappoint them. Still forget their needs. Love alone is not enough. 

At this point I realized that real marriage needs emotional maturity, conflict resolution, humility, communication and a lots of forgiveness. You'll forgive things you swore you never could.",threads,70186578641,jo.xbqxri
[],2026-01-21T09:28:21.811487+07:00,"You date a 'nice guy'.
Sweet, polite, never yells, never argues. At first, it feels peaceful.. finally, no drama.

But after a while, it hits you. You’re the one planning everything. You’re the one starting all the serious talks. You’re the one carrying the emotional load.

You tell him how lonely you feel, how exhausted you are from doing it all.
He listens.. nods.. says, 'I’m sorry you feel that way'.
Then nothing changes. He still shuts down. Avoids conflict. Takes zero initiative.",2025-12-14T08:45:03+07:00,,3787093133675982771,threads,threads.com,threads_crawler_v1,https://www.threads.net/@ashaannart/post/DSOdSPkE--z,https://scontent-hkg1-1.cdninstagram.com/v/t51.2885-19/464652553_566188846099993_391586221392230308_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=scontent-hkg1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=LGcnp7T-kVkQ7kNvwFZehXI&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqW8Jgc0vr616x0nTR_osSRpZoj2Xalk5r9HljRNLH6kg&oe=6975F8C0&_nc_sid=4a2096,160,0,3770,567,0,[],,https://www.threads.net/@ashaannart/post/DSOdSPkE--z,[],"{'likes': 3770, 'reposts': 540, 'quotes': 27}",threads,3787093133675982771,安娜 art & life journal,,"You date a 'nice guy'.
Sweet, polite, never yells, never argues. At first, it feels peaceful.. finally, no drama.

But after a while, it hits you. You’re the one planning everything. You’re the one starting all the serious talks. You’re the one carrying the emotional load.

You tell him how lonely you feel, how exhausted you are from doing it all.
He listens.. nods.. says, 'I’m sorry you feel that way'.
Then nothing changes. He still shuts down. Avoids conflict. Takes zero initiative.",threads,69797027860,ashaannart
[],2026-01-21T09:28:21.811515+07:00,"Selling 2 Les Misérables World Tour Spectacular tickets
📅 Sat, Jan 24, 2026 | 8:00 PM
📍 The Theatre at Solaire
🎟 ORC3 – Row Y, Seats 33 & 34 (A Reserve)

RFS: Schedule conflict
PM me if interested. Thank you!",2026-01-15T17:29:56+07:00,,3810550136184223762,threads,threads.com,threads_crawler_v1,https://www.threads.net/@jasminerenzel/post/DThyyjiE7gS,https://scontent-hkg1-2.cdninstagram.com/v/t51.2885-19/516834740_17917245336107971_1610547875562424088_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hkg1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=5z7lFX_DS00Q7kNvwHsl3BJ&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afriak5rWx0canEL0Yq0xHdjOyfu1snBnj6hqUJ4-kWhmA&oe=6975F056&_nc_sid=4a2096,3,0,2,0,0,['https://scontent-hkg1-2.cdninstagram.com/v/t51.2885-15/616563243_17939452020107971_8493084991028547696_n.jpg?stp=cp6_dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InRocmVhZHMuRkVFRC5pbWFnZV91cmxnZW4uMTI5MHg1OTAuc2RyLmY4Mjc4Ny5kZWZhdWx0X2ltYWdlLmMyIn0&_nc_ht=scontent-hkg1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=UpHwApx0PCYQ7kNvwHRRb2W&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&ig_cache_key=MzgxMDU1MDEzNjE4NDIyMzc2Mg%3D%3D.3-ccb7-5&oh=00_AfpzQ6N-PP5HYnFWOvSzI-jj4BEIL8r6Im0DQ7gacDkAOA&oe=697608DC&_nc_sid=4a2096'],,https://www.threads.net/@jasminerenzel/post/DThyyjiE7gS,[],"{'likes': 2, 'reposts': 0, 'quotes': 0}",threads,3810550136184223762,Jasmine ♡,Les miserables,"Selling 2 Les Misérables World Tour Spectacular tickets
📅 Sat, Jan 24, 2026 | 8:00 PM
📍 The Theatre at Solaire
🎟 ORC3 – Row Y, Seats 33 & 34 (A Reserve)

RFS: Schedule conflict
PM me if interested. Thank you!",threads,63252547970,jasminerenzel
[],2026-01-21T09:28:21.811544+07:00,"☀️ Weekend Predictions ☀️

Cancer ♋️ Scorpio ♏️ Pisces ♓️ 

- Finally getting the clarity you needed on something that previously disappointed you 
- Some type of truth coming out or being revealed or this could be you giving this truth or clarity and it resulting in a loss or disappointment 
- Someone feeling regretful about you 
- Not feeling supported 
- Conflict around the home 
- Setting a boundary or cutting someone off who’s been unpredictable with you 
⬇️",2026-01-17T01:05:28+07:00,,3811504194264360922,threads,threads.com,threads_crawler_v1,https://www.threads.net/@mzpurpleladyyy/post/DTlLt7XCefa,https://scontent-hkg1-2.cdninstagram.com/v/t51.2885-19/609383844_17913496380266354_4616845494933180947_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hkg1-2.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=Ve9yPzC_jyoQ7kNvwFoLR9s&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqWbUzPq-lR2Yt6m9ep4dL701NBfFABMN_ZZXtpI3sHYA&oe=69760FF8&_nc_sid=4a2096,2,0,36,0,0,[],,https://www.threads.net/@mzpurpleladyyy/post/DTlLt7XCefa,[],"{'likes': 36, 'reposts': 0, 'quotes': 0}",threads,3811504194264360922,Chelsey Ciara,,"☀️ Weekend Predictions ☀️

Cancer ♋️ Scorpio ♏️ Pisces ♓️ 

- Finally getting the clarity you needed on something that previously disappointed you 
- Some type of truth coming out or being revealed or this could be you giving this truth or clarity and it resulting in a loss or disappointment 
- Someone feeling regretful about you 
- Not feeling supported 
- Conflict around the home 
- Setting a boundary or cutting someone off who’s been unpredictable with you 
⬇️",threads,68002882353,mzpurpleladyyy
[],2026-01-21T09:28:21.811574+07:00,"As a therapist, I often see that people raised in chaotic and unsafe homes become masters of emotional regulation, for everyone else’s nervous systems but their own. They anticipate moods, avoid conflict, and take responsibility for other people’s feelings. This isn’t only empathy, it’s survival. Healing begins when you give yourself the care you always gave away. If that resonates, maybe this Threads page is for you. You are not alone.",2025-04-22T12:14:35+07:00,,3616151519826894488,threads,threads.com,threads_crawler_v1,https://www.threads.net/@holistic.therapist/post/DIvJqXpRV6Y,https://scontent-hkg4-1.cdninstagram.com/v/t51.2885-19/464469248_1450958322959768_547385869361611643_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hkg4-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QHnQHPvuFeFVB_xjHo1mUCQik9Rue9g16dBMYRh7URYRyKB_3JrvJF9x-acLoZ-AT4&_nc_ohc=BazHSDte_hkQ7kNvwFWDvRE&_nc_gid=1GktsQf9ulId4iJkVgnXEw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afp26L1A7GhPKcM-AQcZtcmoRt7bhHEWYlxOIGvKXbsZuA&oe=6975FF1D&_nc_sid=4a2096,194,0,14776,937,0,[],,https://www.threads.net/@holistic.therapist/post/DIvJqXpRV6Y,[],"{'likes': 14776, 'reposts': 897, 'quotes': 40}",threads,3616151519826894488,Dr. Keean Menard,,"As a therapist, I often see that people raised in chaotic and unsafe homes become masters of emotional regulation, for everyone else’s nervous systems but their own. They anticipate moods, avoid conflict, and take responsibility for other people’s feelings. This isn’t only empathy, it’s survival. Healing begins when you give yourself the care you always gave away. If that resonates, maybe this Threads page is for you. You are not alone.",threads,63221839601,holistic.therapist
