categories,collectDate,content,createDate,description,docId,docType,domain,fromCrawler,link,logoLink,numComments,numDislikes,numLikes,numShares,numViews,pictures,postId,postLink,provinces,reactions,source,sourceId,sourceName,tags,title,type,userId,userName
[],2026-01-28T15:11:58.418573+07:00,"NATO announced today that if Trump invades Greenland, NATO will respond against the USA. Let that set in folks.",2026-01-06T08:52:07+07:00,,3803766528353556438,threads,threads.com,threads_crawler_v1,https://www.threads.net/@laynehenley/post/DTJsYEbCNfW,https://instagram.fhan3-4.fna.fbcdn.net/v/t51.2885-19/359155519_979527826603374_2792110748291167781_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42OTYuYzIifQ&_nc_ht=instagram.fhan3-4.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=YGX5of39yiIQ7kNvwEhNtws&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfoLRud_NelSAZB99RZb-DCkgcJn8NYahJuW_Pnp5AJNoA&oe=697F9973&_nc_sid=4a2096,1272,0,31477,2171,0,[],,https://www.threads.net/@laynehenley/post/DTJsYEbCNfW,[],"{'likes': 31477, 'reposts': 2094, 'quotes': 77}",threads,3803766528353556438,Layne Henley,,"NATO announced today that if Trump invades Greenland, NATO will respond against the USA. Let that set in folks.",threads,63448899899,laynehenley
[],2026-01-28T15:11:58.418697+07:00,"Trump: “NATO is zero without America.”
Meloni: “Cool… so should we shut down your bases, cut trade, or storm McDonald’s?” 🤔🔥

One of the coldest comebacks from a European leader.

#Trump #Meloni #NATO #WorldAffairs #Geopolitics",2026-01-11T19:21:41+07:00,,3807707256847105482,threads,threads.com,threads_crawler_v1,https://www.threads.net/@worldaffairsupdates/post/DTXsZN1DH3K,https://instagram.fhan4-1.fna.fbcdn.net/v/t51.2885-19/572369000_17856922095552197_3562523280208463117_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhan4-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=2F9E1v40a6IQ7kNvwEUmUCA&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfrEOzHBPbf4PVxV4ZjtIwg83W4Z59fBvp8z_XCd-ywPBw&oe=697FB1D5&_nc_sid=4a2096,1003,0,26977,1760,0,['https://instagram.fhan4-1.fna.fbcdn.net/v/t51.2885-15/615186518_17865648102552197_4398302968080742725_n.heic?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InRocmVhZHMuRkVFRC5pbWFnZV91cmxnZW4uMTQ0MHgxOTIwLnNkci5mODI3ODcuZGVmYXVsdF9pbWFnZS5jMiJ9&_nc_ht=instagram.fhan4-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=TBu35ObiFHcQ7kNvwEoAypP&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&ig_cache_key=MzgwNzcwNzI1Njg0NzEwNTQ4Mg%3D%3D.3-ccb7-5&oh=00_AfpAcmZWj5bpjMO_XdGtl_4YbipqzNa8v75t0m75rIBE1Q&oe=697FA319&_nc_sid=4a2096'],,https://www.threads.net/@worldaffairsupdates/post/DTXsZN1DH3K,[],"{'likes': 26977, 'reposts': 1698, 'quotes': 62}",threads,3807707256847105482,World Affairs Updates,,"Trump: “NATO is zero without America.”
Meloni: “Cool… so should we shut down your bases, cut trade, or storm McDonald’s?” 🤔🔥

One of the coldest comebacks from a European leader.

#Trump #Meloni #NATO #WorldAffairs #Geopolitics",threads,76653320196,worldaffairsupdates
[],2026-01-28T15:11:58.418741+07:00,"Rachel Hurley writes:

So Trump ordered the military to invade Greenland, and the generals told him to fuck off.

Not hypothetically. He actually ordered it. The Joint Special Operations Command got the directive – draw up invasion plans for Greenland. And the Joint Chiefs of Staff said no. Because it’s illegal. Because Denmark is a NATO ally. Because you can’t just invade our friends.

1/",2026-01-22T20:15:18+07:00,,3815706797801479023,threads,threads.com,threads_crawler_v1,https://www.threads.net/@arpeejaay/post/DT0HR26ABtv,https://instagram.fhan3-4.fna.fbcdn.net/v/t51.2885-19/605337301_17896453674364828_7881541217565505014_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhan3-4.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=Te2l_uHqRhoQ7kNvwF5fmJz&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfpZzvraDZLt7eGz3x1dZu-hxw_SKF-FE3_dJRsJ1UA1Fw&oe=697F85FB&_nc_sid=4a2096,179,0,19720,1746,0,[],,https://www.threads.net/@arpeejaay/post/DT0HR26ABtv,[],"{'likes': 19720, 'reposts': 1736, 'quotes': 10}",threads,3815706797801479023,Richard Paul Jasper,,"Rachel Hurley writes:

So Trump ordered the military to invade Greenland, and the generals told him to fuck off.

Not hypothetically. He actually ordered it. The Joint Special Operations Command got the directive – draw up invasion plans for Greenland. And the Joint Chiefs of Staff said no. Because it’s illegal. Because Denmark is a NATO ally. Because you can’t just invade our friends.

1/",threads,70801404827,arpeejaay
[],2026-01-28T15:11:58.418783+07:00,"I spoke to the Secretary-General of NATO, Emmanuel Macron, Keir Starmer, Friedrich Merz and Giorgia Meloni.

Together we stand firm in our commitment to uphold the sovereignty of Greenland and the Kingdom of Denmark.

We will always protect our strategic economic and security interests. 

We will face these challenges to our European solidarity with steadiness and resolve.",2026-01-19T04:18:53+07:00,,3813051096713945936,threads,threads.com,threads_crawler_v1,https://www.threads.net/@ursulavonderleyen/post/DTqrcUiDGNQ,https://instagram.fhan3-3.fna.fbcdn.net/v/t51.2885-19/419101328_977595113714441_6434459247322879841_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fhan3-3.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=Jyq2lc6mwFoQ7kNvwH2pEyk&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqaoF52uR3oBEzyAQd53IvrbXYxkOTxpmHM15TVfy6Ysw&oe=697F7C2F&_nc_sid=4a2096,593,0,20207,1181,0,[],,https://www.threads.net/@ursulavonderleyen/post/DTqrcUiDGNQ,[],"{'likes': 20207, 'reposts': 1124, 'quotes': 57}",threads,3813051096713945936,Ursula von der Leyen,,"I spoke to the Secretary-General of NATO, Emmanuel Macron, Keir Starmer, Friedrich Merz and Giorgia Meloni.

Together we stand firm in our commitment to uphold the sovereignty of Greenland and the Kingdom of Denmark.

We will always protect our strategic economic and security interests. 

We will face these challenges to our European solidarity with steadiness and resolve.",threads,64041142848,ursulavonderleyen
[],2026-01-28T15:11:58.418818+07:00,"So let me get this straight ...

If we just take Greenland, Denmark and other NATO members will kick us out of NATO, we bring home 80k troops and we save $50 billion per year, no longer having to defend Europoors and they have to pay for their own defense?

Sounds perfect!!",2026-01-13T02:39:29+07:00,,3808652407635577390,threads,threads.com,threads_crawler_v1,https://www.threads.net/@kwplowboy/post/DTbDS-GDgou,https://instagram.fhan4-6.fna.fbcdn.net/v/t51.2885-19/534733999_17861330400462249_3413114078190023560_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhan4-6.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=TSBphE4qaL4Q7kNvwED5jhJ&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_Afo2L7uTMc6pzbpNrw2o6E0OH_BBCSX-eKjiroWiFr57yQ&oe=697FA3EE&_nc_sid=4a2096,987,0,228,5,0,[],,https://www.threads.net/@kwplowboy/post/DTbDS-GDgou,[],"{'likes': 228, 'reposts': 4, 'quotes': 1}",threads,3808652407635577390,Jerry Wade Sohns,,"So let me get this straight ...

If we just take Greenland, Denmark and other NATO members will kick us out of NATO, we bring home 80k troops and we save $50 billion per year, no longer having to defend Europoors and they have to pay for their own defense?

Sounds perfect!!",threads,73792070248,kwplowboy
[],2026-01-28T15:11:58.418850+07:00,"Prince Harry, who served in Afghanistan, has released a statement in response to Trump's remarks:

""In 2001, Nato invoked Article 5 for the first—and only—time in history. It meant that every allied nation was obliged to stand with the United States in Afghanistan, in pursuit of our shared security. Allies answered that call.

""I served there. I made lifelong friends there. And I lost friends there. The United Kingdom alone had 457 service personnel killed.",2026-01-24T03:42:07+07:00,,3816656464463590152,threads,threads.com,threads_crawler_v1,https://www.threads.net/@engineerngr/post/DT3fNU6DPMI,https://instagram.fhan4-3.fna.fbcdn.net/v/t51.2885-19/587407959_17932911642107952_3910121184387150286_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhan4-3.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=jeGnNl2znccQ7kNvwEVumST&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfpHVdaA7lqETJ4Ib086DzZ_GQVvfTG9RfCC3ppwK4eQ6g&oe=697F917F&_nc_sid=4a2096,501,0,25222,1917,0,[],,https://www.threads.net/@engineerngr/post/DT3fNU6DPMI,[],"{'likes': 25222, 'reposts': 1869, 'quotes': 48}",threads,3816656464463590152,Wunderkind,,"Prince Harry, who served in Afghanistan, has released a statement in response to Trump's remarks:

""In 2001, Nato invoked Article 5 for the first—and only—time in history. It meant that every allied nation was obliged to stand with the United States in Afghanistan, in pursuit of our shared security. Allies answered that call.

""I served there. I made lifelong friends there. And I lost friends there. The United Kingdom alone had 457 service personnel killed.",threads,63245499951,engineerngr
[],2026-01-28T15:11:58.418893+07:00,Taking over Greenland is not a joke. Trump is sending messages to foreign leaders and making threats that will destroy the most important alliance we have. Are Republicans in Congress and Marco Rubio really ready to throw NATO away because they’re too afraid to stand up to Trump?,2026-01-20T01:25:16+07:00,,3813688483609961104,threads,threads.com,threads_crawler_v1,https://www.threads.net/@captmarkkelly/post/DTs8XhVkeKQ,https://instagram.fhan4-3.fna.fbcdn.net/v/t51.2885-19/478859370_18484568365043350_8532223280041616175_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDAwLmMyIn0&_nc_ht=instagram.fhan4-3.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=XMRCBurUpfwQ7kNvwEA0uHO&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfqzCwSIl_WVlZJumFCGeA13vzpRwKMnZbgFnex2KVMmIw&oe=697F873A&_nc_sid=4a2096,1487,0,26420,2286,0,[],,https://www.threads.net/@captmarkkelly/post/DTs8XhVkeKQ,[],"{'likes': 26420, 'reposts': 2212, 'quotes': 74}",threads,3813688483609961104,Captain Mark Kelly,,Taking over Greenland is not a joke. Trump is sending messages to foreign leaders and making threats that will destroy the most important alliance we have. Are Republicans in Congress and Marco Rubio really ready to throw NATO away because they’re too afraid to stand up to Trump?,threads,72379770060,captmarkkelly
[],2026-01-28T15:11:58.418924+07:00,"Dane here.
If the United States tries to annex Greenland, it will be a direct and hostile attack on another NATO country.

It will be viewed as an act of war against Denmark - and therefore all other NATO countries. 

In the best case scenario - the US will get shunned by the whole western world.

In the worst case scenario - the US will set off World War III. 

Dear American politicians - both Liberals and Republicans:

GROW A FUCKING SPINE AND REMOVE HIM FROM OFFICE!",2026-01-05T02:24:18+07:00,,3802846562137964690,threads,threads.com,threads_crawler_v1,https://www.threads.net/@linmakron/post/DTGbMzHjICS,https://instagram.fhan4-1.fna.fbcdn.net/v/t51.2885-19/476138557_1015613563934909_840413739592105116_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTguYzIifQ&_nc_ht=instagram.fhan4-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=crkI8bMEH40Q7kNvwEeIz_8&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfrBdjp6QWqdFjw1a9nsX4qAo9FwiXFyRNZsGURMHChG-g&oe=697FA469&_nc_sid=4a2096,891,0,24717,2119,0,[],,https://www.threads.net/@linmakron/post/DTGbMzHjICS,[],"{'likes': 24717, 'reposts': 2048, 'quotes': 71}",threads,3802846562137964690,Lin Makron,,"Dane here.
If the United States tries to annex Greenland, it will be a direct and hostile attack on another NATO country.

It will be viewed as an act of war against Denmark - and therefore all other NATO countries. 

In the best case scenario - the US will get shunned by the whole western world.

In the worst case scenario - the US will set off World War III. 

Dear American politicians - both Liberals and Republicans:

GROW A FUCKING SPINE AND REMOVE HIM FROM OFFICE!",threads,68542934953,linmakron
[],2026-01-28T15:11:58.418955+07:00,"You lost Vietnam. 
You lost Afghanistan. 
Couldn’t take Korea.

And you think taking Greenland from NATO is easy? 

American exceptionalism is a hell of a drug.",2026-01-07T20:39:25+07:00,,3804847299588042682,threads,threads.com,threads_crawler_v1,https://www.threads.net/@alestry.perez/post/DTNiHXEjK-6,https://instagram.fhan3-4.fna.fbcdn.net/v/t51.2885-19/516767473_18522398284055250_1359756951499460630_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fhan3-4.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=vfZFJ2mmLfgQ7kNvwGHCsIY&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfrrK4VSDfMwNbY9UbN36FBTgIIT73aanuWdoM6YG7xG0Q&oe=697FA411&_nc_sid=4a2096,1455,0,4098,198,0,[],,https://www.threads.net/@alestry.perez/post/DTNiHXEjK-6,[],"{'likes': 4098, 'reposts': 197, 'quotes': 1}",threads,3804847299588042682,Alestry Pérez,,"You lost Vietnam. 
You lost Afghanistan. 
Couldn’t take Korea.

And you think taking Greenland from NATO is easy? 

American exceptionalism is a hell of a drug.",threads,75743449579,alestry.perez
[],2026-01-28T15:11:58.418988+07:00,"Rep. Greg Steube: ""You see Macron and the French sending troops to Greenland. I would love to see the US military up against French troops in Greenland, because it would not last very long. It would be a very small skirmish ... we don't care about what Macron and the French want.""",2026-01-23T23:01:33+07:00,,3816515128565296857,threads,threads.com,threads_crawler_v1,https://www.threads.net/@aaron.rupar/post/DT2_EnmCe7Z,https://instagram.fhan3-3.fna.fbcdn.net/v/t51.2885-19/456465291_8343612382370345_8092768749465866765_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4yNjEuYzIifQ&_nc_ht=instagram.fhan3-3.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=EYObdXW-BloQ7kNvwE2muGA&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&oh=00_AfoQUhPFVQJv8e0wJ8yvEqKg5ccaw2R53fo2tUVL-PJQZQ&oe=697FA900&_nc_sid=4a2096,1154,0,499,90,0,"['https://instagram.fhan3-2.fna.fbcdn.net/v/t51.2885-15/621157941_1314219714080695_1127763833927122073_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InRocmVhZHMuRkVFRC5pbWFnZV91cmxnZW4uNjQweDM2MC5zZHIuZjcxODc4LmRlZmF1bHRfY292ZXJfZnJhbWUuYzIifQ&_nc_ht=instagram.fhan3-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QG39Zqzs4SdxoGRkv94vtqlyYnAzwma5hjSjWggRerDChF-c-H3HqSvRJx5XsWu3gg&_nc_ohc=uivGMl0g-2IQ7kNvwHJm3B0&_nc_gid=q5kVWCHp5JotFm0U8K-exw&edm=AJhczIQBAAAA&ccb=7-5&ig_cache_key=MzgxNjUxNTEyODU2NTI5Njg1Nw%3D%3D.3-ccb7-5&oh=00_AfovAKMt-0iRUPX7bidsUgqe2RgKgG8_MH23Y_VSBBpjag&oe=697F9927&_nc_sid=4a2096', 'https://instagram.fhan3-2.fna.fbcdn.net/o1/v/t16/f2/m84/AQObLimROIUquloEY_UlsgEC8B-GFGbN8xF8cU-Rl9lxKebu-dETGDr_mBqIEFEhJpYg6S615lWofovV3ynh2EQTW3oi1hQkIJF_LPA.mp4?_nc_cat=107&_nc_oc=AdmWCyRJ6FpsTh41t7RBfVqasf5s0RjkhNHfUY95F0pkBwLs6ZGf1cd77toRBghrPxc&_nc_sid=5e9851&_nc_ht=instagram.fhan3-2.fna.fbcdn.net&_nc_ohc=hJpucXIJkygQ7kNvwHlDdhK&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uRkVFRC5DMy42MzYuZGFzaF9iYXNlbGluZV8zX3YxIiwieHB2X2Fzc2V0X2lkIjo5MDUxMDE4MDU4MDY3ODksImFzc2V0X2FnZV9kYXlzIjo0LCJ2aV91c2VjYXNlX2lkIjoxMDE2NCwiZHVyYXRpb25fcyI6NjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=q5kVWCHp5JotFm0U8K-exw&_nc_zt=28&vs=e58228478ebef0c6&_nc_vs=HBksFQIYTGlnX2JhY2tmaWxsX3RpbWVsaW5lX3ZvZC8wMDRGNDNDOUQ2QzFDOEI1RkRBODhDODA1MTg5NzZCQl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0I5NDRCNzU5MEMwN0NENzg5QUMxMUJDRDQyNkU4QkE4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaKk_f57cubAxUCKAJDMywXQFAGVgQYk3UYEmRhc2hfYmFzZWxpbmVfM192MREAdeoHZeieAQA&oh=00_AfoUjITWblMf3iJzUrq8IQCRx2KFU50GLSacq8vaJ01qtg&oe=697BA9AD']",,https://www.threads.net/@aaron.rupar/post/DT2_EnmCe7Z,[],"{'likes': 499, 'reposts': 58, 'quotes': 32}",threads,3816515128565296857,Aaron Rupar,,"Rep. Greg Steube: ""You see Macron and the French sending troops to Greenland. I would love to see the US military up against French troops in Greenland, because it would not last very long. It would be a very small skirmish ... we don't care about what Macron and the French want.""",threads,63251498552,aaron.rupar
